YEAR,DIVISION,TEAM NAME,POINTS,WINS,LOSSES,OT
2016-2017,Metropolitan,Washington Capitals,118,55,19,8
2016-2017,Metropolitan,Pittsburgh Penguins,111,50,21,11
2016-2017,Metropolitan,Columbus Blue Jackets,108,50,24,8
2016-2017,Metropolitan,New York Rangers,102,48,28,6
2016-2017,Metropolitan,New York Islanders,94,41,29,12
2016-2017,Metropolitan,Philadelphia Flyers,88,39,33,10
2016-2017,Metropolitan,Carolina Hurricanes,87,36,31,15
2016-2017,Metropolitan,New Jersey Devils,70,28,40,14
2016-2017,Atlantic,Montréal Canadiens,103,47,26,9
2016-2017,Atlantic,Ottawa Senators,98,44,28,10
2016-2017,Atlantic,Boston Bruins,95,44,31,7
2016-2017,Atlantic,Toronto Maple Leafs,95,40,27,15
2016-2017,Atlantic,Tampa Bay Lightning,94,42,30,10
2016-2017,Atlantic,Florida Panthers,81,35,36,11
2016-2017,Atlantic,Detroit Red Wings,79,33,36,13
2016-2017,Atlantic,Buffalo Sabres,78,33,37,12
2016-2017,Central,Chicago Blackhawks,109,50,23,9
2016-2017,Central,Minnesota Wild,106,49,25,8
2016-2017,Central,St. Louis Blues,99,46,29,7
2016-2017,Central,Nashville Predators,94,41,29,12
2016-2017,Central,Winnipeg Jets,87,40,35,7
2016-2017,Central,Dallas Stars,79,34,37,11
2016-2017,Central,Colorado Avalanche,48,22,56,4
2016-2017,Pacific,Anaheim Ducks,105,46,23,13
2016-2017,Pacific,Edmonton Oilers,103,47,26,9
2016-2017,Pacific,San Jose Sharks,99,46,29,7
2016-2017,Pacific,Calgary Flames,94,45,33,4
2016-2017,Pacific,Los Angeles Kings,86,39,35,8
2016-2017,Pacific,Arizona Coyotes,70,30,42,10
2016-2017,Pacific,Vancouver Canucks,69,30,43,9
