YEAR,DIVISION,TEAM NAME,POINTS,WINS,LOSSES,OT
2015-2016,Metropolitan,Washington Capitals,120,56,18,8
2015-2016,Metropolitan,Pittsburgh Penguins,104,48,26,8
2015-2016,Metropolitan,New York Rangers,101,46,27,9
2015-2016,Metropolitan,New York Islanders,100,45,27,10
2015-2016,Metropolitan,Philadelphia Flyers,96,41,27,14
2015-2016,Metropolitan,Carolina Hurricanes,86,35,31,16
2015-2016,Metropolitan,New Jersey Devils,84,38,36,8
2015-2016,Metropolitan,Columbus Blue Jackets,76,34,40,8
2015-2016,Atlantic,Florida Panthers,103,47,26,9
2015-2016,Atlantic,Tampa Bay Lightning,97,46,31,5
2015-2016,Atlantic,Detroit Red Wings,93,41,30,11
2015-2016,Atlantic,Boston Bruins,93,42,31,9
2015-2016,Atlantic,Ottawa Senators,85,38,35,9
2015-2016,Atlantic,Montréal Canadiens,82,38,38,6
2015-2016,Atlantic,Buffalo Sabres,81,35,36,11
2015-2016,Atlantic,Toronto Maple Leafs,69,29,42,11
2015-2016,Central,Dallas Stars,109,50,23,9
2015-2016,Central,St. Louis Blues,107,49,24,9
2015-2016,Central,Chicago Blackhawks,103,47,26,9
2015-2016,Central,Nashville Predators,96,41,27,14
2015-2016,Central,Minnesota Wild,87,38,33,11
2015-2016,Central,Colorado Avalanche,82,39,39,4
2015-2016,Central,Winnipeg Jets,78,35,39,8
2015-2016,Pacific,Anaheim Ducks,103,46,25,11
2015-2016,Pacific,Los Angeles Kings,102,48,28,6
2015-2016,Pacific,San Jose Sharks,98,46,30,6
2015-2016,Pacific,Arizona Coyotes,78,35,39,8
2015-2016,Pacific,Calgary Flames,77,35,40,7
2015-2016,Pacific,Vancouver Canucks,75,31,38,13
2015-2016,Pacific,Edmonton Oilers,70,31,43,8
