YEAR,DIVISION,TEAM NAME,POINTS,WINS,LOSSES,OT
2018-2019,Metropolitan,Washington Capitals,104,48,26,8
2018-2019,Metropolitan,New York Islanders,103,48,27,7
2018-2019,Metropolitan,Pittsburgh Penguins,100,44,26,12
2018-2019,Metropolitan,Carolina Hurricanes,99,46,29,7
2018-2019,Metropolitan,Columbus Blue Jackets,98,47,31,4
2018-2019,Metropolitan,Philadelphia Flyers,82,37,37,8
2018-2019,Metropolitan,New York Rangers,78,32,36,14
2018-2019,Metropolitan,New Jersey Devils,72,31,41,10
2018-2019,Atlantic,Tampa Bay Lightning,128,62,16,4
2018-2019,Atlantic,Boston Bruins,107,49,24,9
2018-2019,Atlantic,Toronto Maple Leafs,100,46,28,8
2018-2019,Atlantic,Montréal Canadiens,96,44,30,8
2018-2019,Atlantic,Florida Panthers,86,36,32,14
2018-2019,Atlantic,Buffalo Sabres,76,33,39,10
2018-2019,Atlantic,Detroit Red Wings,74,32,40,10
2018-2019,Atlantic,Ottawa Senators,64,29,47,6
2018-2019,Central,Nashville Predators,100,47,29,6
2018-2019,Central,Winnipeg Jets,99,47,30,5
2018-2019,Central,St. Louis Blues,99,45,28,9
2018-2019,Central,Dallas Stars,93,43,32,7
2018-2019,Central,Colorado Avalanche,90,38,30,14
2018-2019,Central,Chicago Blackhawks,84,36,34,12
2018-2019,Central,Minnesota Wild,83,37,36,9
2018-2019,Pacific,Calgary Flames,107,50,25,7
2018-2019,Pacific,San Jose Sharks,101,46,27,9
2018-2019,Pacific,Vegas Golden Knights,93,43,32,7
2018-2019,Pacific,Arizona Coyotes,86,39,35,8
2018-2019,Pacific,Vancouver Canucks,81,35,36,11
2018-2019,Pacific,Anaheim Ducks,80,35,37,10
2018-2019,Pacific,Edmonton Oilers,79,35,38,9
2018-2019,Pacific,Los Angeles Kings,71,31,42,9
