YEAR,DIVISION,TEAM NAME,POINTS,WINS,LOSSES,OT
2019-2020,Metropolitan,Washington Capitals,90,41,20,8
2019-2020,Metropolitan,Philadelphia Flyers,89,41,21,7
2019-2020,Metropolitan,Pittsburgh Penguins,86,40,23,6
2019-2020,Metropolitan,Carolina Hurricanes,81,38,25,5
2019-2020,Metropolitan,New York Islanders,80,35,23,10
2019-2020,Metropolitan,Columbus Blue Jackets,81,33,22,15
2019-2020,Metropolitan,New York Rangers,79,37,28,5
2019-2020,Metropolitan,New Jersey Devils,68,28,29,12
2019-2020,Atlantic,Boston Bruins,100,44,14,12
2019-2020,Atlantic,Tampa Bay Lightning,92,43,21,6
2019-2020,Atlantic,Toronto Maple Leafs,81,36,25,9
2019-2020,Atlantic,Florida Panthers,78,35,26,8
2019-2020,Atlantic,Montréal Canadiens,71,31,31,9
2019-2020,Atlantic,Buffalo Sabres,68,30,31,8
2019-2020,Atlantic,Ottawa Senators,62,25,34,12
2019-2020,Atlantic,Detroit Red Wings,39,17,49,5
2019-2020,Central,St. Louis Blues,94,42,19,10
2019-2020,Central,Colorado Avalanche,92,42,20,8
2019-2020,Central,Dallas Stars,82,37,24,8
2019-2020,Central,Nashville Predators,78,35,26,8
2019-2020,Central,Winnipeg Jets,80,37,28,6
2019-2020,Central,Minnesota Wild,77,35,27,7
2019-2020,Central,Chicago Blackhawks,72,32,30,8
2019-2020,Pacific,Vegas Golden Knights,86,39,24,8
2019-2020,Pacific,Edmonton Oilers,83,37,25,9
2019-2020,Pacific,Vancouver Canucks,78,36,27,6
2019-2020,Pacific,Calgary Flames,79,36,27,7
2019-2020,Pacific,Arizona Coyotes,74,33,29,8
2019-2020,Pacific,Anaheim Ducks,67,29,33,9
2019-2020,Pacific,Los Angeles Kings,64,29,35,6
2019-2020,Pacific,San Jose Sharks,63,29,36,5
