YEAR,DIVISION,TEAM NAME,POINTS,WINS,LOSSES,OT
2017-2018,Metropolitan,Washington Capitals,105,49,26,7
2017-2018,Metropolitan,Pittsburgh Penguins,100,47,29,6
2017-2018,Metropolitan,Philadelphia Flyers,98,42,26,14
2017-2018,Metropolitan,Columbus Blue Jackets,97,45,30,7
2017-2018,Metropolitan,New Jersey Devils,97,44,29,9
2017-2018,Metropolitan,Carolina Hurricanes,83,36,35,11
2017-2018,Metropolitan,New York Islanders,80,35,37,10
2017-2018,Metropolitan,New York Rangers,77,34,39,9
2017-2018,Atlantic,Tampa Bay Lightning,113,54,23,5
2017-2018,Atlantic,Boston Bruins,112,50,20,12
2017-2018,Atlantic,Toronto Maple Leafs,105,49,26,7
2017-2018,Atlantic,Florida Panthers,96,44,30,8
2017-2018,Atlantic,Detroit Red Wings,73,30,39,13
2017-2018,Atlantic,Montréal Canadiens,71,29,40,13
2017-2018,Atlantic,Ottawa Senators,67,28,43,11
2017-2018,Atlantic,Buffalo Sabres,62,25,45,12
2017-2018,Central,Nashville Predators,117,53,18,11
2017-2018,Central,Winnipeg Jets,114,52,20,10
2017-2018,Central,Minnesota Wild,101,45,26,11
2017-2018,Central,Colorado Avalanche,95,43,30,9
2017-2018,Central,St. Louis Blues,94,44,32,6
2017-2018,Central,Dallas Stars,92,42,32,8
2017-2018,Central,Chicago Blackhawks,76,33,39,10
2017-2018,Pacific,Vegas Golden Knights,109,51,24,7
2017-2018,Pacific,Anaheim Ducks,101,44,25,13
2017-2018,Pacific,San Jose Sharks,100,45,27,10
2017-2018,Pacific,Los Angeles Kings,98,45,29,8
2017-2018,Pacific,Calgary Flames,84,37,35,10
2017-2018,Pacific,Edmonton Oilers,78,36,40,6
2017-2018,Pacific,Vancouver Canucks,73,31,40,11
2017-2018,Pacific,Arizona Coyotes,70,29,41,12
