YEAR,DIVISION,TEAM NAME,POINTS,WINS,LOSSES,OT
2020-2021,Honda West,Colorado Avalanche,82,39,13,4
2020-2021,Honda West,Vegas Golden Knights,82,40,14,2
2020-2021,Honda West,Minnesota Wild,75,35,16,5
2020-2021,Honda West,St. Louis Blues,63,27,20,9
2020-2021,Honda West,Arizona Coyotes,54,24,26,6
2020-2021,Honda West,Los Angeles Kings,49,21,28,7
2020-2021,Honda West,San Jose Sharks,49,21,28,7
2020-2021,Honda West,Anaheim Ducks,43,17,30,9
2020-2021,Discover Central,Carolina Hurricanes,80,36,12,8
2020-2021,Discover Central,Florida Panthers,79,37,14,5
2020-2021,Discover Central,Tampa Bay Lightning,75,36,17,3
2020-2021,Discover Central,Nashville Predators,64,31,23,2
2020-2021,Discover Central,Dallas Stars,60,23,19,14
2020-2021,Discover Central,Chicago Blackhawks,55,24,25,7
2020-2021,Discover Central,Detroit Red Wings,48,19,27,10
2020-2021,Discover Central,Columbus Blue Jackets,48,18,26,12
2020-2021,MassMutual East,Pittsburgh Penguins,77,37,16,3
2020-2021,MassMutual East,Washington Capitals,77,36,15,5
2020-2021,MassMutual East,Boston Bruins,73,33,16,7
2020-2021,MassMutual East,New York Islanders,71,32,17,7
2020-2021,MassMutual East,New York Rangers,60,27,23,6
2020-2021,MassMutual East,Philadelphia Flyers,58,25,23,8
2020-2021,MassMutual East,New Jersey Devils,45,19,30,7
2020-2021,MassMutual East,Buffalo Sabres,37,15,34,7
2020-2021,Scotia North,Toronto Maple Leafs,77,35,14,7
2020-2021,Scotia North,Edmonton Oilers,72,35,19,2
2020-2021,Scotia North,Winnipeg Jets,63,30,23,3
2020-2021,Scotia North,Montréal Canadiens,59,24,21,11
2020-2021,Scotia North,Calgary Flames,55,26,27,3
2020-2021,Scotia North,Ottawa Senators,51,23,28,5
2020-2021,Scotia North,Vancouver Canucks,50,23,29,4
